Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,498.190002,530.609985,497.929993,510.450012,510.450012,60664700000
2010-02-01,510.399994,511.109985,469.820007,496.029999,496.029999,34208600000
2010-03-01,495.980011,549.700012,495.290009,539.799988,539.799988,39544900000
2010-04-01,539.900024,574.599976,539.900024,573.369995,573.369995,43234600000
2010-05-01,573.489990,580.210022,480.350006,543.590027,543.590027,55707100000
2010-06-01,543.510010,581.789978,519.530029,566.099976,566.099976,44141600000
2010-07-01,565.900024,598.179993,554.419983,589.919983,589.919983,33912100000
2010-08-01,590.179993,597.799988,564.909973,581.309998,581.309998,39862800000
2010-09-01,581.210022,661.619995,581.210022,651.929993,651.929993,60046100000
2010-10-01,651.900024,681.559998,651.900024,673.419983,673.419983,60733100000
2010-11-01,673.469971,694.169983,637.760010,638.080017,638.080017,77510300000
2010-12-01,638.000000,685.359985,628.390015,661.380005,661.380005,35346800000
2011-01-01,661.619995,679.070007,573.159973,597.849976,597.849976,39273900000
2011-02-01,598.340027,623.289978,582.859985,614.020020,614.020020,23706300000
2011-03-01,614.090027,660.250000,614.090027,659.049988,659.049988,37132100000
2011-04-01,659.150024,686.440002,655.049988,680.630005,680.630005,30483600000
2011-05-01,680.679993,692.020020,668.380005,682.250000,682.250000,68482900000
2011-06-01,682.309998,693.109985,654.809998,690.650024,690.650024,35380400000
2011-07-01,690.549988,741.820007,688.650024,729.840027,729.840027,36896400000
2011-08-01,730.070007,743.330017,630.900024,676.260010,676.260010,49579800000
2011-09-01,676.479980,713.780029,553.530029,622.640015,622.640015,32643300000
2011-10-01,622.409973,692.809998,567.010010,675.570007,675.570007,49316100000
2011-11-01,675.390015,690.260010,637.080017,656.409973,656.409973,26661200000
2011-12-01,656.500000,677.320007,642.849976,673.510010,673.510010,26008400000
2012-01-01,673.409973,716.200012,667.799988,692.159973,692.159973,29285600000
2012-02-01,692.179993,708.729980,659.590027,692.770020,692.770020,29329300000
2012-03-01,692.729980,715.359985,676.669983,712.549988,712.549988,21242400000
2012-04-01,712.619995,736.669983,703.380005,711.380005,711.380005,27492000000
2012-05-01,711.469971,720.770020,641.929993,645.690002,645.690002,24016300000
2012-06-01,642.520020,680.159973,612.289978,674.789978,674.789978,33521100000
2012-07-01,680.190002,714.989990,672.380005,712.770020,712.770020,25290700000
2012-08-01,709.590027,723.830017,678.450012,695.530029,695.530029,28689200000
